Pathways	Compounds of pathway	Reactions of pathway	SMILES
D-myo-inositol (1,4,5)-trisphosphate biosynthesis	a 1-phosphatidyl-1D-myo-inositol 4-phosphate // CMP // a 1-phosphatidyl-1D-myo-inositol // a CDP-diacylglycerol // myo-inositol // ADP // a 1-phosphatidyl-1D-myo-inositol 5-phosphate // ATP // H+ // D-myo-inositol (1,4,5)-trisphosphate // a 1,2-diacyl-sn-glycerol // a 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate // H2O	a 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate + H2O  ->  a 1,2-diacyl-sn-glycerol + D-myo-inositol (1,4,5)-trisphosphate + H+ // a 1-phosphatidyl-1D-myo-inositol 5-phosphate + ATP  ->  a 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate + ADP + H+ // a CDP-diacylglycerol + myo-inositol  ->  a 1-phosphatidyl-1D-myo-inositol + CMP + H+ // a 1-phosphatidyl-1D-myo-inositol + ATP  ->  a 1-phosphatidyl-1D-myo-inositol 4-phosphate + ADP + H+ // a 1-phosphatidyl-1D-myo-inositol 4-phosphate + ATP  ->  a 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate + ADP + H+	C(OC(=O)[R1])[C@H](COP(=O)([O-])O[C@H]1([C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)1))OC(=O)[R2] // C(OP(=O)([O-])[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O) // C(OP(OP([O-])(=O)OC[C@@H](COC([R1])=O)OC(=O)[R2])(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O) // [C@H]1([C@@H]([C@H]([C@@H]([C@H]([C@H]1O)O)O)O)O)O // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // [H+] // [C@@H]1(O)([C@@H](OP([O-])([O-])=O)[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)1) // C(O)[C@@H](COC(=O)[R1])OC(=O)[R2] // O
heme a biosynthesis	diphosphate // protoheme // (2E,6E)-farnesyl diphosphate // ferroheme o // a reduced two electron carrier // ferroheme i // an oxidized electron carrier // H2O // ferroheme a // hydroxyferroheme i	hydroxyferroheme i  ->  ferroheme a + H2O // ferroheme i + oxidized electron carrier + H2O  ->  hydroxyferroheme i + reduced two electron carrier // ferroheme o + oxidized electron carrier + H2O  ->  ferroheme i + reduced two electron carrier // heme <i>o</i> biosynthesis	O=P(O)(OP([O-])([O-])=O)[O-] // C=CC4(\C(/C)=C5(\C=C6(C(/C)=C(CCC(=O)[O-])/C7(\C=C8(C(/CCC(=O)[O-])=C(C)/C1(/N([Fe-2]3(N(C(/C=C2(C(/C)=C(C=C)/C(\C=1)=[N+]2/3))=4)5)([N+]/6=7))8)))))) // CC(C)=CCCC(\C)=C/CCC(\C)=C/COP(OP([O-])(=O)[O-])(=O)[O-] // C=CC3(\C7(\[N+]4(\[Fe-2]16([N+]5(\C(/C(\CCC(=O)[O-])=C(C)\C(/C=C2(C(\C)=C(C(\N12)=C\C(\C(/C)=3)=4)/[C@@H](O)CC/C=C(C)/CC/C=C(C)/CCC=C(C)C))=5)=C/C8(/N6C(/C=7)=C(C)/C(\CCC(=O)[O-])=8)))))) // [an oxidized electron carrier] // C=CC4(\C6(/C=C8(C(/C)=C(CCC(=O)[O-])/C1(/N([Fe-2]35([N+]2(\C(/C(/CO)=C(CCC(=O)[O-])\C(/C=1)=2)=C/C7(/N3C(\C=C(C(/C)=4)/[N+]\5=6)=C(C(/C)=7)/[C@@H](O)CC/C=C(C)/CC/C=C(C)/CCC=C(C)C))))8)))) // O // C=CC4(\C6(/C=C8(C(/C)=C(CCC(=O)[O-])/C1(/N([Fe-2]35([N+]2(\C(/C(/C=O)=C(CCC(=O)[O-])\C(/C=1)=2)=C/C7(/N3C(\C=C(C(/C)=4)/[N+]\5=6)=C(C(/C)=7)/[C@@H](O)CC/C=C(C)/CC/C=C(C)/CCC=C(C)C))))8)))) // C=CC4(\C6(/C=C8(C(/C)=C(CCC(=O)[O-])/C1(/N([Fe-2]35([N+]2(\C(/C(/C(O)O)=C(CCC(=O)[O-])\C(/C=1)=2)=C/C7(/N3C(\C=C(C(/C)=4)/[N+]\5=6)=C(C(/C)=7)/[C@@H](O)CC/C=C(C)/CC/C=C(C)/CCC=C(C)C))))8))))
L-phenylalanine degradation II (anaerobic)	CO2 // H+ // NADH // phenylacetate // phenylacetaldehyde // H2O // NAD+ // L-glutamate // 3-phenyl-2-oxopropanoate // L-phenylalanine // 2-oxoglutarate	L-phenylalanine + 2-oxoglutarate  <-->  3-phenyl-2-oxopropanoate + L-glutamate // phenylacetaldehyde + NAD+ + H2O  ->  phenylacetate + NADH + 2 H+ // 3-phenyl-2-oxopropanoate + H+  ->  CO2 + phenylacetaldehyde	C(=O)=O // [H+] // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // C([O-])(=O)CC1(\C=C/C=C\C=1) // C(=O)CC1(\C=C/C=C\C=1) // O // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5) // C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O // C([O-])(=O)C(=O)CC1(\C=C/C=C\C=1) // C([O-])(=O)[C@@H]([NH3+])CC1(\C=C/C=C\C=1) // C(CC([O-])=O)C(=O)C([O-])=O
ammonia assimilation cycle I	H2O // ammonia // phosphate // ADP // ammonium // ATP // H+ // NADH // 2-oxoglutarate // L-glutamine // NAD+ // L-glutamate	2 L-glutamate + NAD+  <-  L-glutamine + 2-oxoglutarate + NADH + H+ // ammonium + L-glutamate + ATP  ->  L-glutamine + ADP + phosphate + H+	O // N // [O-]P(=O)(O)[O-] // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // [NH4+] // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // [H+] // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // C(CC([O-])=O)C(=O)C([O-])=O // C(=O)(N)CC[C@H]([NH3+])C([O-])=O // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5) // C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O
N1-methyl-N3-aminocarboxypropyl-pseudouridine-modified rRNA biosynthesis	a uridine in 18S rRNA // S-adenosyl-L-homocysteine // a 18S rRNA pseudouridine // H+ // an N1-methyl-N3-aminocarboxypropyl-pseudouridine in 18S rRNA // S-methyl-5'-thioadenosine // S-adenosyl-L-methionine // an 18S rRNA N1-methylpseudouridine	an 18S rRNA N1-methylpseudouridine + S-adenosyl-L-methionine  ->  S-methyl-5'-thioadenosine + an N1-methyl-N3-aminocarboxypropyl-pseudouridine in 18S rRNA + H+ // a 18S rRNA pseudouridine + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + an 18S rRNA N1-methylpseudouridine + H+ // a uridine in 18S rRNA  ->  a 18S rRNA pseudouridine	C(OP(=O)([O-])O[an 18S rRNA])[C@H]2(O[C@@H](N1(\C=C/C(=O)NC(=O)1))[C@H](O)[C@H](OP(=O)(O[an 18S rRNA])[O-])2) // C(SC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))C[C@@H](C(=O)[O-])[NH3+] // C2(\NC(=O)NC(=O)C(/[C@@H]1(O[C@H](COP(=O)([O-])O[an 18S rRNA])[C@@H](OP(=O)(O[an 18S rRNA])[O-])[C@@H](O)1))=2) // [H+] // CN2(C(=O)N(CC[C@H]([NH3+])C([O-])=O)C(=O)C(/[C@@H]1(O[C@H](COP(=O)([O-])O[an 18S rRNA])[C@@H](OP(=O)(O[an 18S rRNA])[O-])[C@@H](O)1))=C/2) // CSC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C[S+](C[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))CC[C@@H](C(=O)[O-])[NH3+] // CN2(C(=O)NC(=O)C(/[C@@H]1(O[C@H](COP(=O)([O-])O[an 18S rRNA])[C@@H](OP(=O)(O[an 18S rRNA])[O-])[C@@H](O)1))=C/2)
iron-sulfur cluster biosynthesis	an S-sulfanyl-[cysteine desulfurase]-[disordered-form scaffold protein] complex // a [cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex // an S-sulfanyl-[cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex // a [cysteine desulfurase]-(S-sulfanyl)2-[disordered-form scaffold protein] complex // Fe3+ // a [cysteine desulfurase]-[scaffold protein-(2Fe-2S)] complex // a [co-chaperone]-[scaffold protein-(2Fe-2S)] complex // phosphate // a holo-[2Fe-2S] cluster protein // an [Fe-S cluster biosynthesis co-chaperone] // a [chaperone-ATP]-[co-chaperone]-[scaffold protein-(2Fe-2S)] complex // an apo-iron-sulfur protein // ADP // a [disordered-form [Fe-S] cluster scaffold protein] // an [Fe-S cluster biosynthesis chaperone]-ATP // a [chaperone-ADP]-[disordered-form scaffold protein] complex // ATP // an [S-sulfanyl-L-cysteine desulfurase]2 // L-alanine // L-cysteine // an [L-cysteine desulfurase]	L-cysteine + [L-cysteine desulfurase]  ->  L-alanine + [S-sulfanyl-L-cysteine desulfurase]2 // [chaperone-ADP]-[disordered-form scaffold protein] complex + ATP  ->  [Fe-S cluster biosynthesis chaperone]-ATP + [disordered-form [Fe-S] cluster scaffold protein] + ADP // [chaperone-ATP]-[co-chaperone]-[scaffold protein-(2Fe-2S)] complex + apo-iron-sulfur protein  ->  [chaperone-ADP]-[disordered-form scaffold protein] complex + [Fe-S cluster biosynthesis co-chaperone] + holo-[2Fe-2S] cluster protein + phosphate // [co-chaperone]-[scaffold protein-(2Fe-2S)] complex + [Fe-S cluster biosynthesis chaperone]-ATP  ->  [chaperone-ATP]-[co-chaperone]-[scaffold protein-(2Fe-2S)] complex // [cysteine desulfurase]-[scaffold protein-(2Fe-2S)] complex + [Fe-S cluster biosynthesis co-chaperone]  ->  [co-chaperone]-[scaffold protein-(2Fe-2S)] complex + [L-cysteine desulfurase] // [cysteine desulfurase]-(S-sulfanyl)2-[disordered-form scaffold protein] complex + 2 Fe3+  ->  [cysteine desulfurase]-[scaffold protein-(2Fe-2S)] complex // S-sulfanyl-[cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex  ->  [cysteine desulfurase]-(S-sulfanyl)2-[disordered-form scaffold protein] complex // [cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex + L-cysteine  ->  S-sulfanyl-[cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex + L-alanine // S-sulfanyl-[cysteine desulfurase]-[disordered-form scaffold protein] complex  ->  [cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex // [S-sulfanyl-L-cysteine desulfurase]2 + [disordered-form [Fe-S] cluster scaffold protein]  ->  S-sulfanyl-[cysteine desulfurase]-[disordered-form scaffold protein] complex	[Fe+3] // [O-]P(=O)(O)[O-] // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(=O)([a protein])[C@@H](N[a protein])CS.C(=O)([a protein])[C@@H](N[a protein])CS.C(=O)([a protein])[C@@H](N[a protein])CS.C(=O)([a protein])[C@@H](N[a protein])CS // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C([an [L-cysteine desulfurase]])([C@@H](N[an [L-cysteine desulfurase]])CSS)=O // C[C@H]([NH3+])C([O-])=O // C(S)[C@@H](C(=O)[O-])[NH3+] // C([an [L-cysteine desulfurase]])([C@@H](N[an [L-cysteine desulfurase]])CS)=O
wybutosine biosynthesis	wybutosine37 in tRNAPhe // 7-[(3S)-4-methoxy-(3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe // 7-[(3S)-(3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe // 7-[(3S)-3-amino-3-carboxypropyl]-4-demethylwyosine37 in tRNAPhe // S-methyl-5'-thioadenosine // H2O // CO2 // 5'-deoxyadenosine // L-methionine // 4-demethylwyosine37 in tRNAPhe // pyruvate // H+ // S-adenosyl-L-homocysteine // an N1-methylguanine37 in tRNAPhe // S-adenosyl-L-methionine // guanine37 in tRNAPhe	guanine37 in tRNAPhe + S-adenosyl-L-methionine  ->  an N1-methylguanine37 in tRNAPhe + S-adenosyl-L-homocysteine + H+ // an N1-methylguanine37 in tRNAPhe + pyruvate + S-adenosyl-L-methionine  ->  4-demethylwyosine37 in tRNAPhe + L-methionine + 5'-deoxyadenosine + CO2 + H2O // 4-demethylwyosine37 in tRNAPhe + S-adenosyl-L-methionine  ->  S-methyl-5'-thioadenosine + 7-[(3S)-3-amino-3-carboxypropyl]-4-demethylwyosine37 in tRNAPhe + H+ // 7-[(3S)-3-amino-3-carboxypropyl]-4-demethylwyosine37 in tRNAPhe + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + 7-[(3S)-(3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe + H+ // 7-[(3S)-(3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe + S-adenosyl-L-methionine  ->  7-[(3S)-4-methoxy-(3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe + S-adenosyl-L-homocysteine // 7-[(3S)-4-methoxy-(3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe + CO2 + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + wybutosine37 in tRNAPhe + 2 H+	CC1(\N=C2(N(C(/CC[C@H](NC(=O)OC)C(=O)OC)=1)C(=O)C3(\N=C/N(C(N(C)2)=3)[C@@H]4(O[C@H](COP(=O)([O-])O[a tRNAPhe])[C@@H](OP(=O)(O[a tRNAPhe])[O-])[C@@H](O)4)))) // CC1(\N=C2(N(C(/CC[C@H]([NH3+])C(=O)OC)=1)C(=O)C3(\N=C/N(C(N(C)2)=3)[C@@H]4(O[C@H](COP(=O)([O-])O[a tRNAPhe])[C@@H](OP(=O)(O[a tRNAPhe])[O-])[C@@H](O)4)))) // CC1(\N=C2(N(C(/CC[C@H]([NH3+])C(=O)[O-])=1)C(=O)C3(\N=C/N(C(N(C)2)=3)[C@@H]4(O[C@H](COP(=O)([O-])O[a tRNAPhe])[C@@H](OP(=O)(O[a tRNAPhe])[O-])[C@@H](O)4)))) // CC2(\N=C1(NC3(\N(\C=N/C(\C(=O)N1C(/CC[C@H]([NH3+])C(=O)[O-])=2)=3)[C@@H]4(O[C@H](COP(=O)([O-])O[a tRNAPhe])[C@@H](OP(=O)(O[a tRNAPhe])[O-])[C@@H](O)4)))) // CSC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // O // C(=O)=O // C[C@H]3(O[C@@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))[C@H](O)[C@H](O)3) // CSCC[C@H]([NH3+])C([O-])=O // CC2(\N=C1(NC3(\N(\C=N/C(\C(=O)N1\C=2)=3)[C@@H]4(O[C@H](COP(=O)([O-])O[a tRNAPhe])[C@@H](OP(=O)(O[a tRNAPhe])[O-])[C@@H](O)4)))) // CC(=O)C(=O)[O-] // [H+] // C(SC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))C[C@@H](C(=O)[O-])[NH3+] // CN1(C(=O)C2(\N=C/N(C(\N=C(N)/1)=2)[C@@H]3(O[C@H](COP(=O)([O-])O[a tRNAPhe])[C@@H](OP(=O)(O[a tRNAPhe])[O-])[C@@H](O)3))) // C[S+](C[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))CC[C@@H](C(=O)[O-])[NH3+] // C(OP(=O)([O-])O[a tRNAPhe])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](OP(=O)(O[a tRNAPhe])[O-])3)
homocysteine and cysteine interconversion	(Z)-2-aminobutenoate // 2-iminobutanoate // 2-aminoprop-2-enoate // 2-iminopropanoate // L-serine // 2-oxobutanoate // succinate // H+ // L-cysteine // O-succinyl-L-homoserine // L-homocysteine // pyruvate // ammonium // L-cystathionine // H2O	L-cystathionine + H2O  ->  ammonium + pyruvate + L-homocysteine // L-cysteine + O-succinyl-L-homoserine  <-->  succinate + L-cystathionine + H+ // L-cystathionine + H2O  ->  2-oxobutanoate + L-cysteine + ammonium // L-homocysteine + L-serine  <-->  L-cystathionine + H2O	C\C=C(C([O-])=O)/[NH3+] // CCC(C(=O)[O-])=[NH2+] // C=C([NH3+])C(=O)[O-] // CC(C(=O)[O-])=[NH2+] // C(O)[C@H]([NH3+])C(=O)[O-] // CCC(=O)C(=O)[O-] // C(C([O-])=O)CC([O-])=O // [H+] // C(S)[C@@H](C(=O)[O-])[NH3+] // C(CC(=O)OCC[C@@H](C([O-])=O)[NH3+])C([O-])=O // C(S)C[C@@H](C(=O)[O-])[NH3+] // CC(=O)C(=O)[O-] // [NH4+] // C(SC[C@@H](C([O-])=O)[NH3+])C[C@H]([NH3+])C([O-])=O // O
glucose-6-phosphate biosynthesis	H+ // ADP // D-glucopyranose 6-phosphate // D-glucopyranose // ATP	D-glucopyranose + ATP  ->  D-glucopyranose 6-phosphate + ADP + H+	[H+] // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C([C@H]1(OC([C@@H]([C@H]([C@@H]1O)O)O)O))OP([O-])([O-])=O // C(=O)[R] // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
glycogen biosynthesis	a [glycogenin] // H+ // (1,4-alpha-D-glucosyl)n-glucosyl glucogenin // an alpha-D-glucosyl-[glycogenin] // UDP // UDP-alpha-D-glucose // a glycogen // a glucosylated glycogenin	a glucosylated glycogenin  ->  a glycogen // UDP-alpha-D-glucose + (1,4-alpha-D-glucosyl)(n)  glycogenin  ->  (1,4-alpha-D-glucosyl)(n+1) glycogenin + UDP // UDP-alpha-D-glucose + alpha-D-glucosyl-[glycogenin]  ->  (1,4-alpha-D-glucosyl)n-glucosyl glucogenin + UDP + H+ // UDP-alpha-D-glucose + [glycogenin]  ->  alpha-D-glucosyl-[glycogenin] + UDP + H+	C1(\C=C(\C=C/C(\C[C@@H](C([a [glycogenin]])=O)N[a [glycogenin]])=1)\O) // [H+] // C(O)[C@H]3(O[C@H](O[C@H]2([C@H](O)[C@@H](O)[C@@H](OC1(\C=C/C(\C[C@@H](C([a [glycogenin]])=O)N[a [glycogenin]])=C\C=1))O[C@H](CO)2))[C@H](O)[C@@H](O)[C@H](O)3) // C(O)[C@H]2(O[C@H](OC1(\C=C/C(\C[C@@H](C([a [glycogenin]])=O)N[a [glycogenin]])=C\C=1))[C@H](O)[C@@H](O)[C@H](O)2) // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(=O)NC1=O))O2)O)O) // C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(OC[C@@H]3([C@H]([C@H]([C@H](N2(\C=C/C(=O)NC2=O))O3)O)O))(=O)[O-])(=O)[O-]) // C([C@H]%34(O[C@H](O[C@@H]1([C@H](O[C@@H]([C@@H]([C@@H](O)1)O)O[C@@H]%33([C@H](O[C@H](O[C@@H]2([C@H](O[C@@H]([C@@H]([C@@H](O)2)O)O[C@@H]%32([C@H](O[C@H](O[C@@H]3([C@H](O[C@@H]([C@@H]([C@@H](O)3)O)O[C@@H]%31([C@H](O[C@H](O[C@@H]%30([C@H](O[C@H](OC[C@@H]%28([C@@H](O[C@H]%27(O[C@@H]([C@@H](O[C@H]%26(O[C@@H]([C@@H](O[C@H]%25(O[C@@H]([C@@H](O[C@H]%24(O[C@@H]([C@@H](O[C@H]%23(O[C@@H]([C@@H](O[C@H]%22(O[C@@H]([C@@H](O[C@H]5(O[C@@H]([C@@H](O[C@H]4(O[C@@H]([C@@H](O[R1])[C@@H]([C@H]4O)O)CO))[C@@H]([C@H]5O)O)CO[C@H]%21(O[C@@H]([C@@H](O[C@H]%20(O[C@@H]([C@@H](O[C@H]%19(O[C@@H]([C@@H](O[C@H]%10(O[C@@H]([C@@H](O[C@H]9(O[C@@H]([C@@H](O[C@H]8(O[C@@H]([C@@H](O[C@H]7(O[C@@H]([C@@H](O[C@H]6(O[C@@H]([C@@H](O)[C@@H]([C@H]6O)O)CO))[C@@H]([C@H]7O)O)CO))[C@@H]([C@H]8O)O)CO))[C@@H]([C@H]9O)O)CO))[C@@H]([C@H]%10O)O)CO[C@H]%18(O[C@@H]([C@@H](O[C@H]%17(O[C@@H]([C@@H](O[C@H]%16(O[C@@H]([C@@H](O[C@H]%15(O[C@@H]([C@@H](O[C@H]%14(O[C@@H]([C@@H](O[C@H]%13(O[C@@H]([C@@H](O[C@H]%12(O[C@@H]([C@@H](O[C@H]%11(O[C@@H]([C@@H](O)[C@@H]([C@H]%11O)O)CO))[C@@H]([C@H]%12O)O)CO))[C@@H]([C@H]%13O)O)CO))[C@@H]([C@H]%14O)O)CO))[C@@H]([C@H]%15O)O)CO))[C@@H]([C@H]%16O)O)CO))[C@@H]([C@H]%17O)O)CO))[C@@H]([C@H]%18O)O)CO)))[C@@H]([C@H]%19O)O)CO))[C@@H]([C@H]%20O)O)CO))[C@@H]([C@H]%21O)O)CO)))[C@@H]([C@H]%22O)O)CO))[C@@H]([C@H]%23O)O)CO))[C@@H]([C@H]%24O)O)CO))[C@@H]([C@H]%25O)O)CO))[C@@H]([C@H]%26O)O)CO))[C@@H]([C@@H](O)%27)O)CO))[C@@H]([C@@H](O)[C@H](O%28)O[C@@H]%29([C@H](O[C@H](O[R2])[C@@H]([C@H]%29O)O)CO))O))[C@@H]([C@@H](O)%30)O)CO))[C@@H]([C@@H](O)%31)O)CO))CO))[C@@H]([C@@H](O)%32)O)CO))CO))[C@@H]([C@@H](O)%33)O)CO))CO))[C@@H]([C@@H](O)[C@@H]%34O)O))O // C(O)[C@H]3(O[C@H](O[C@H]2([C@H](O)[C@@H](O)[C@@H](OC1(\C=C/C(\C[C@@H](C([a [glycogenin]])=O)N[a [glycogenin]])=C\C=1))O[C@H](CO)2))[C@H](O)[C@@H](O)[C@H](O[R])3)
sulfate activation for sulfonation	diphosphate // sulfate // ADP // 3'-phosphoadenylyl-sulfate // H+ // adenosine 5'-phosphosulfate // ATP	adenosine 5'-phosphosulfate + ATP  ->  3'-phosphoadenylyl-sulfate + ADP + H+ // sulfate + ATP + H+  <-->  adenosine 5'-phosphosulfate + diphosphate	O=P(O)(OP([O-])([O-])=O)[O-] // O=S(=O)([O-])[O-] // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OS(=O)([O-])=O)[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](OP([O-])(=O)[O-])3) // [H+] // C(OP([O-])(OS(=O)([O-])=O)=O)[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
L-methionine degradation III	CO2 // H+ // NADH // 3-(methylsulfanyl)propanal // methionol // NAD+ // L-phenylalanine // 4-(methylsulfanyl)-2-oxobutanoate // L-methionine // 3-phenyl-2-oxopropanoate	methionine--phenylpyruvate transaminase // methionol + NAD+  <-  3-(methylsulfanyl)propanal + NADH + H+ // 4-(methylsulfanyl)-2-oxobutanoate + H+  ->  3-(methylsulfanyl)propanal + CO2	C(=O)=O // [H+] // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // CSCCC=O // CSCCCO // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5) // C([O-])(=O)[C@@H]([NH3+])CC1(\C=C/C=C\C=1) // CSCCC(C([O-])=O)=O // CSCC[C@H]([NH3+])C([O-])=O // C([O-])(=O)C(=O)CC1(\C=C/C=C\C=1)
