Compound	InChI-Key	SMILES
trans-cinnamate	InChIKey=WBYWAXJHAXSJNI-VOTSOKGWSA-M	C(=O)([O-])/C=C/C1(\C=C/C=C\C=1)
12,13-DiHODE	InChIKey=RGRKFKRAFZJQMS-OOHFSOINSA-M	C([R])(=O)[O-]
a-lxyl-PEN-1:5		
3-oxopropanoate	InChIKey=OAKURXIZZOAYBC-UHFFFAOYSA-M	C([R])(=O)[O-]
octanoyl-CoA	InChIKey=KQMZYOXOBSXMII-CECATXLMSA-J	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[R])COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
5-cis, 7-trans-3-oxo-tetradecadienoyl-CoA	InChIKey=NJXBFCFHVUIEMZ-QTJPLKLFSA-J	CCCCCC/C=C/C=C\CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
b-dgro-dgal-NON-2:6|1:a|2:keto|3:d		
guanosine 2',3'-cyclic monophosphate	InChIKey=UASRYODFRYWBRC-UUOKFMHZSA-M	C([C@H]4(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@@H]3(OP([O-])(=O)O[C@@H]34)))O
2-chloromaleylacetate	InChIKey=QOHGUQUQCPIROQ-DAFODLJHSA-L	C([O-])(=O)C(/Cl)=C\C(=O)CC(=O)[O-]
N8-acetylspermidine	InChIKey=FONIWJIDLJEJTL-UHFFFAOYSA-P	CC(=O)NCCCC[NH2+]CCC[NH3+]
3-phosphooxypyruvate	InChIKey=LFLUCDOSQPJJBE-UHFFFAOYSA-K	C(OP([O-])(=O)[O-])C(=O)C(=O)[O-]
gamma-L-glutamyl-(S)-2-aminobutanoate	InChIKey=FUZOZPRKGAXGOB-WDSKDSINSA-M	CC[C@@H](C([O-])=O)NC(CC[C@@H](C(=O)[O-])[NH3+])=O
ketoconazole	InChIKey=XMAYWYJOQHXEEK-ZEQKJWHPSA-N	CC(N1(CCN(CC1)C5(\C=C/C(/OC[C@@H]4(CO[C@@](CN2(\C=C/N=C\2))(C3(\C(\Cl)=C/C(/Cl)=C\C=3))O4))=C\C=5)))=O
3-O-methyl-D-mannose	InChIKey=SCBBSJMAPKXHAH-BWSJPXOBSA-N	CO[C@@H]1([C@H](O)C(O)O[C@H](CO)[C@@H](O)1)
31-norcycloartanol	InChIKey=RXPPOAQPYLFCAS-WXPWFURYSA-N	CC(C)CCC[C@@H](C)[C@H]3(CC[C@@]4(C)([C@@H]1(CC[C@H]5([C@H](C)[C@@H](O)CC[C@@]2(C[C@@]12CC[C@](C)34)5))))
S-(2-succinyl)-L-cysteine	InChIKey=XPKKFTKCRVIDAG-WUCPZUCCSA-L	C(SC(CC(=O)[O-])C(=O)[O-])[C@H]([NH3+])C(=O)[O-]
reduced beta-nicotinamide D-ribonucleotide	InChIKey=XQHMUSRSLNRVGA-TURQNECASA-L	C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]2(O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H](O)2))
4alpha-carboxy-5alpha-cholesta-8,24-dien-3beta-ol	InChIKey=JHIWIFRQJXLNEU-GSQAGGHASA-M	CC(C)=CCC[C@@H](C)[C@H]2(CC[C@H]3(C4(\CC[C@H]1([C@H](C([O-])=O)[C@@H](O)CC[C@@](C)1C(\CC[C@](C)23)=4))))
protoheme	InChIKey=KABFMIBPWCXCRK-RGGAHWMASA-J	C=CC4(\C(/C)=C5(\C=C6(C(/C)=C(CCC(=O)[O-])/C7(\C=C8(C(/CCC(=O)[O-])=C(C)/C1(/N([Fe-2]3(N(C(/C=C2(C(/C)=C(C=C)/C(\C=1)=[N+]2/3))=4)5)([N+]/6=7))8))))))
ADP ribose 1'',2''-cyclic phosphate	InChIKey=NPSPRYXPOGPCPM-TYASJMOZSA-K	C(OP(=O)([O-])OP(OC[C@@H]2([C@@H](O)[C@H]1(OP([O-])(=O)OC1O2)))(=O)[O-])[C@H]5(O[C@@H](N3(C4(\C(\N=C/3)=C(N)/N=C\N=4)))[C@H](O)[C@H](O)5)
propane-1,3-diamine	InChIKey=XFNJVJPLKCPIBV-UHFFFAOYSA-P	C(CC[NH3+])[NH3+]
(7,8-dihydropterin-6-yl)methyl diphosphate	InChIKey=FCQGJGLSOWZZON-UHFFFAOYSA-K	C1(C(/COP(=O)([O-])OP(=O)([O-])[O-])=N\C2(/C(=O)NC(/N)=N/C(\N1)=2))
D-myo-inositol (1,4,5,6)-tetrakisphosphate	InChIKey=MRVYFOANPDTYBY-YORTWTKJSA-F	[C@@H]1(O)([C@@H](OP([O-])([O-])=O)[C@H](OP([O-])(=O)[O-])[C@@H](OP([O-])(=O)[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)1)
pyridoxamine	InChIKey=NHZMQXZHNVQTQA-UHFFFAOYSA-O	CC1(\C(\O)=C(C(/CO)=C\N=1)\C[NH3+])
ADP-5-ethyl-4-methylthiazole-2-carboxylate	InChIKey=VGXBGQACJQRWLV-LKGUXBDMSA-K	CC4(\N=C(C(=O)[O-])/SC(/CCOP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])=4)
trans-aconitate	InChIKey=GTZCVFVGUGFEME-HNQUOIGGSA-K	C([R])(=O)[O-]
thiamine triphosphate	InChIKey=IWLROWZYZPNOFC-UHFFFAOYSA-K	CC2(\[N+](/CC1(\C=N/C(\C)=N\C(/N)=1))=C/SC(/CCOP([O-])(=O)OP([O-])(=O)OP([O-])(=O)[O-])=2)
alpha-D-galactopyranose	InChIKey=WQZGKKKJIJFFOK-PHYPRBDBSA-N	C(O)[C@H]1(O[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)1)
aldehydo-D-galactose	InChIKey=GZCGUPFRVQAUEE-KCDKBNATSA-N	C(=O)[R]
pyrazinamide	InChIKey=IPEHBUMCGVEMRF-UHFFFAOYSA-N	C1(\N=C/C=N\C(/C(=O)N)=1)
(S)-NADHX	InChIKey=IDBZKGQRLBFUFQ-VPHRTNKSSA-L	C1(/N([C@@H](O)CCC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5))
[peptidyl-carrier protein] group		CC(C)(COP(=O)([O-])OC[C@H](N[a peptidyl-carrier protein])C(=O)[a peptidyl-carrier protein])[C@@H](O)C(=O)NCCC(=O)NCCS
a-dara-PEN-1:4		
glutarate semialdehyde	InChIKey=VBKPPDYGFUZOAJ-UHFFFAOYSA-M	C(CCCC(=O)[O-])=O
5,10-methylenetetrahydropteroyl mono-L-glutamate	InChIKey=QYNUQALWYRSVHF-OLZOCXBDSA-L	C3(NC4(/N=C(N)\NC(=O)C(/N2(CN(C1(\C=C/C(/C(=O)N[C@@H](CCC([R])=O)C([O-])=O)=C\C=1))C[C@@H]23))=4))
glycolaldehyde	InChIKey=WGCNASOHLSPBMP-UHFFFAOYSA-N	C(O)C=O
obvatol	InChIKey=OPGPFZQBCIAFLI-UHFFFAOYSA-N	C=CCC2(\C=C/C(/OC1(\C(\O)=C(\C=C(CC=C)/C=1)\O))=C\C=2)
D-myo-inositol (1,4)-bisphosphate	InChIKey=PELZSPZCXGTUMR-RTPHHQFDSA-J	[C@@H]1(O)([C@@H](O)[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](O)[C@@H](OP([O-])([O-])=O)1)
L-histidinol phosphate	InChIKey=CWNDERHTHMWBSI-YFKPBYRVSA-M	C1(\N\C=N/C(\C[C@@H](COP([O-])(=O)[O-])[NH3+])=1)
succinyl-CoA	InChIKey=VNOYUJKHFWYWIR-ITIYDSSPSA-I	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)[O-])COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
x-lman-HEX-1:5|6:d		
p-chloromercuriphenylsulfonate	InChIKey=XXEBDPRHFAWOND-UHFFFAOYSA-L	C1(\C=C/C(/S(=O)([O-])=O)=C\C=1)[Hg]Cl
porphyrin-ring		C1(\C2(\C=C5(\C=C/C(\C=C4(\C=C/C(\C=C3(\C=C/C(\C=C(\C=1)/N=2)=N3))=N4))=N5)))
5-methyluridine	InChIKey=DWRXFEITVBNRMK-JXOAFFINSA-N	CC1(\C(=O)NC(N(\C=1)[C@H]2([C@H](O)[C@H](O)[C@@H](CO)O2))=O)
allantoate	InChIKey=NUCLJNSWZCHRKL-UHFFFAOYSA-M	C(C(=O)[O-])(NC(=O)N)NC(=O)N
(R)-2-hydroxyhexadecanal	InChIKey=BKBDVQVDRVGXKT-MRXNPFEDSA-N	CCCCCCCCCCCCCC[C@@H](O)C=O
alpha-D-galactose 6-phosphate	InChIKey=NBSCHQHZLSJFNQ-PHYPRBDBSA-L	C(OP([O-])([O-])=O)[C@H]1(O[C@@H]([C@@H]([C@H]([C@H]1O)O)O)O)
S-sulfanylglutathione	InChIKey=QBOLVLBSUGJHGB-WDSKDSINSA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
cytidine 2'-monophosphate	InChIKey=YQUAKORMLHPSLZ-XVFCMESISA-L	C(O)[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)OP([O-])(=O)[O-])O)
pyridoxine 5'-phosphate	InChIKey=WHOMFKWHIQZTHY-UHFFFAOYSA-L	CC1(\C(\O)=C(C(/COP([O-])(=O)[O-])=C\N=1)\CO)
aci-nitroethane	InChIKey=CPZLOQHKKRZRSD-UHFFFAOYSA-N	CC=[N+](O)[O-]
thymine	InChIKey=RWQNBRDOKXIBIV-UHFFFAOYSA-N	CC1(\C(=O)NC(N\C=1)=O)
beta-D-mannopyranose 6-phosphate	InChIKey=NBSCHQHZLSJFNQ-RWOPYEJCSA-L	C(OP(=O)([O-])[O-])[C@H]1(OC(O)[C@@H](O)[C@@H](O)[C@H](O)1)
(Z)-2-aminobutenoate	InChIKey=PAWSVPVNIXFKOS-IHWYPQMZSA-N	C\C=C(C([O-])=O)/[NH3+]
CMP	InChIKey=IERHLVCPSMICTF-XVFCMESISA-L	C(OP(=O)([O-])[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O)
quinidine	InChIKey=LOUPRKONTZGTKE-JUMJFMMLSA-O	C=C[C@@H]1([C@H]2(C[C@H]([NH+](C1)CC2)[C@H](C3(\C4(/C=C(\C=C/C(/N=C\C=3)=4)/OC)))O))
tetrahydromethanopterin	InChIKey=SCBIBGUJSMHIAI-LHIIQLEZSA-K	C[C@H]([C@H]1([C@H](C)NC2(/N=C(N)\NC(C(/N1)=2)=O)))NC4(\C=C/C(\C[C@@H]([C@@H]([C@@H](CO[C@@H]3([C@@H]([C@@H]([C@@H](COP([O-])(=O)O[C@H](C([O-])=O)CCC([O-])=O)O3)O)O))O)O)O)=C\C=4)
nitrate	InChIKey=NHNBFGGVMKEFGY-UHFFFAOYSA-N	N(=O)(=O)[O-]
alpha-D-rhamnopyranose	InChIKey=SHZGCJCMOBCMKK-PQMKYFCFSA-N	C(=O)[R]
a-HEX-1:5|6:a		
(3E,5Z)-tetradeca-3,5-dienoate	InChIKey=YRUMHTHCEZRHTN-XAZJVICWSA-M	C([R])(=O)[O-]
oxalosuccinate	InChIKey=UFSCUAXLTRFIDC-UHFFFAOYSA-K	C(C([O-])=O)C(C(C(=O)[O-])=O)C([O-])=O
2-oleoyl-sn-glycero-3-phosphoethanolamine	InChIKey=NOVZJYYJYIFXJC-MZMPXXGTSA-N	CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H](CO)COP(OCC[NH3+])([O-])=O
riboflavin	InChIKey=AUNGANRZJHBGPY-SCRDCRAPSA-M	CC3(\C=C2(C(/N(C[C@H](O)[C@H](O)[C@H](O)CO)C1(\C(\C(=O)[N-]C(=O)/N=1)=N/2))=C\C(/C)=3))
canavaninosuccinate	InChIKey=SGYMGUGIGTWWLU-ROLXFIACSA-M	C(ONC(NC(CC(=O)[O-])C(=O)[O-])=[NH2+])C[C@H]([NH3+])C([O-])=O
L-allo-threonine	InChIKey=AYFVYJQAPQTCCC-HRFVKAFMSA-N	C([R])(=O)[O-]
(R)-lactate	InChIKey=JVTAAEKCZFNVCJ-UWTATZPHSA-M	C([R])(=O)[O-]
dGMP	InChIKey=LTFMZDNNPPEQNG-KVQBGUIXSA-L	C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))C[C@H](O)3)
ethanolamine	InChIKey=HZAXFHJVJLSVMW-UHFFFAOYSA-O	C(CO)[NH3+]
spermidine	InChIKey=ATHGHQPFGPMSJY-UHFFFAOYSA-Q	C([NH3+])CC[NH2+]CCCC[NH3+]
methylarsonous acid	InChIKey=OXBIRPQQKCQWGV-UHFFFAOYSA-N	C[As](O)O
dihydrogen phosphate	InChIKey=NBIIXXVUZAFLBC-UHFFFAOYSA-M	O=P(O)([O-])O
(L-threonyl)adenylate	InChIKey=YYBNSQASHCKPHX-DWVDDHQFSA-N	C([R])(=O)[O-]
D-erythro-7,8-dihydroneopterin	InChIKey=YQIFAMYNGGOTFB-XINAWCOVSA-N	C1(NC2(/N=C(N)\NC(=O)C(/N=C1/[C@H](O)[C@H](O)CO)=2))
5-iso prostaglandin F2alpha-VI	InChIKey=RZCPXIZGLPAGEV-SUHLLOIRSA-M	C([R])(=O)[O-]
(glutathion-S-yl)-bimane	InChIKey=KPJNKLWIESQKCG-STQMWFEESA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
D-myo-inositol (1,4,5)-trisphosphate	InChIKey=MMWCIQZXVOZEGG-XJTPDSDZSA-H	[C@@H]1(O)([C@@H](OP([O-])([O-])=O)[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)1)
alpha-D-galacturonate	InChIKey=AEMOLEFTQBMNLQ-BKBMJHBISA-M	C([R])(=O)[O-]
Zn2+	InChIKey=PTFCDOFLOPIGGS-UHFFFAOYSA-N	[Zn+2]
(S)-3-chloro-1-phenyl-1-propanol	InChIKey=JZFUHAGLMZWKTF-SECBINFHSA-N	C(Cl)C[C@@H](O)C1(\C=C/C=C\C=1)
CDTA	InChIKey=FCKYPQBAHLOOJQ-UHFFFAOYSA-N	C(=O)(O)CN(CC(=O)O)C1(CCCCC(N(CC(=O)O)CC(=O)O)1)
b-lgal-HEX-1:5|6:d		
cholesterol	InChIKey=HVYWMOMLDIMFJA-DPAQBDIFSA-N	CC(C)CCC[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(C\C=C1(C[C@@H](O)CC[C@@](C)1[C@H]2CC[C@](C)34))))
alpha-D-ribulofuranose	InChIKey=LQXVFWRQNMEDEE-WDCZJNDASA-N	C(O)[C@@]1(O)([C@H](O)[C@H](O)CO1)
protoporphyrin IX	InChIKey=KSFOVUSSGSKXFI-UJJXFSCMSA-L	C=CC4(\C(/C)=C3(\C=C5(C(/C)=C(CCC([O-])=O)/C(\C=C1(C(/CCC([O-])=O)=C(C)/C(/N1)=C/C2(/C(\C=C)=C(C)\C(\N=2)=C\C(\N3)=4)))=N\5)))
3-all trans-hexaprenyl-4-hydroxy-5-methoxybenzoate	InChIKey=YSZSVGFMAJXGMQ-FRICUITQSA-M	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(\C(\O)=C(/C=C(\C=1)/C(=O)[O-])\OC)
S-methyl-L-methionine	InChIKey=YDBYJHTYSHBBAU-YFKPBYRVSA-O	C([R])(=O)[O-]
alpha-D-xylopyranose	InChIKey=SRBFZHDQGSBBOR-LECHCGJUSA-N	C(=O)[C@H](O)[C@@H](O)[C@H](O)CO
alpha-D-mannopyranose 6-phosphate	InChIKey=NBSCHQHZLSJFNQ-PQMKYFCFSA-L	C(OP(=O)([O-])[O-])[C@H]1(OC(O)[C@@H](O)[C@@H](O)[C@H](O)1)
biotin	InChIKey=YBJHBAHKTGYVGT-ZKWXMUAHSA-M	C1(S[C@@H](CCCCC(=O)[O-])[C@H]2(NC(=O)N[C@@H]12))
2-(glutathion-S-yl)-2-carboxypropane	InChIKey=JQWABENXVMJJMW-NPPUSCPJSA-L	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
(S)-2-amino-6-oxohexanoate	InChIKey=GFXYTQPNNXGICT-YFKPBYRVSA-N	C(=O)CCC[C@H]([NH3+])C(=O)[O-]
(L-arginyl)adenylate	InChIKey=AJYPLWAQPDERQG-TWBCTODHSA-O	C([R])(=O)[O-]
an acp domain within a type I fatty acid synthase		CC(C)(COP(=O)([O-])OC[C@H](N[a type I fatty acid synthase])C(=O)[a type I fatty acid synthase])[C@@H](O)C(=O)NCCC(=O)NCCS
(3R)-hydroxy- 5-cis, 7-trans-tetradecadienoyl-CoA	InChIKey=ZZVZPDQTNSJQPZ-VOXMGFCCSA-J	CCCCCC/C=C/C=C\C[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
trans-cerot-2-enoyl-CoA	InChIKey=GGUUXBBWTGIIGE-KESUDTCVSA-J	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[R])COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
inosine	InChIKey=UGQMRVRMYYASKQ-KQYNXXCUSA-N	C(O)[C@H]3(O[C@@H](N1(C2(\N=C/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3)
fumonisin B1	InChIKey=UVBUBMSSQKOIBE-DSLOAKGESA-K	CCCC[C@@H](C)[C@@H](OC(C[C@H](C([O-])=O)CC(=O)[O-])=O)[C@@H](OC(=O)C[C@H](C([O-])=O)CC([O-])=O)C[C@@H](C)C[C@H](O)CCCC[C@@H](O)C[C@H](O)[C@@H]([NH3+])C
GTP	InChIKey=XKMLYUALXHKNFT-UUOKFMHZSA-J	C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3)
1D-myoinositol 5-diphosphate 1,2,3,4,6-pentakisphosphate	InChIKey=UPHPWXPNZIOZJL-KXXVROSKSA-A	[C@@H]1(OP([O-])([O-])=O)([C@@H](OP([O-])([O-])=O)[C@H](OP([O-])(=O)[O-])[C@@H](OP([O-])(=O)OP([O-])(=O)[O-])[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])1)
beta-D-glucose 6-phosphate	InChIKey=NBSCHQHZLSJFNQ-VFUOTHLCSA-L	C([C@H]1(OC([C@@H]([C@H]([C@@H]1O)O)O)O))OP([O-])([O-])=O
L-threonine	InChIKey=AYFVYJQAPQTCCC-GBXIJSLDSA-N	[C@@H]([NH3+])([R])C([O-])=O
2'-deoxycytidine	InChIKey=CKTSBUTUHBMZGZ-SHYZEUOFSA-N	C(O)[C@@H]2([C@H](C[C@H](N1(\C=C/C(/N)=N\C(=O)1))O2)O)
(2R,3S)-3-isopropylmalate	InChIKey=RNQHMTFBUSSBJQ-CRCLSJGQSA-L	CC(C)[C@H](C([O-])=O)[C@H](C([O-])=O)O
kifunensine	InChIKey=OIURYJWYVIAOCW-PQMKYFCFSA-N	[C@@H]12([C@H]([C@H]([C@@H]([C@@H](CO)N(C(C(N1)=O)=O)2)O)O)O)
1-[18-hydroxyoeoyl]-2-[18-hydroxy-linoleoyl]-sn-glycerol	InChIKey=RCALBBVHQNUWNO-OSFDYRCISA-N	C(O)[C@@H](COC(=O)[R1])OC(=O)[R2]
x-PEN-1:4		
benzoate	InChIKey=WPYMKLBDIGXBTP-UHFFFAOYSA-M	C([R])(=O)[O-]
a phosphate group		[O-]P([O-])([O-])=O
O-phosphoethanolamine	InChIKey=SUHOOTKUPISOBE-UHFFFAOYSA-M	C(C[NH3+])OP([O-])([O-])=O
L-tryptophan	InChIKey=QIVBCDIJIAJPQS-VIFPVBQESA-N	[C@@H]([NH3+])([R])C([O-])=O
beta-D-fructofuranose 1-phosphate	InChIKey=RHKKZBWRNHGJEZ-ARQDHWQXSA-L	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@](COP([O-])([O-])=O)(O)O1)
presqualene diphosphate	InChIKey=ATZKAUGGNMSCCY-QLYDTTAWSA-K	CC(C)=CCCC(\C)=C/CCC(\C)=C/[C@@H]1([C@@](C)(CC/C=C(C)/CCC=C(C)C)[C@H]1COP(OP([O-])([O-])=O)([O-])=O)
2-(formamido)-N1-(5-phospho-beta-D-ribosyl)acetamidine	InChIKey=PMCOGCVKOAOZQM-XVFCMESISA-M	C(NC=O)C(N[C@H]1([C@H](O)[C@H](O)[C@@H](COP([O-])(=O)[O-])O1))=[NH2+]
5-fluorouracil	InChIKey=GHASVSINZRGABV-UHFFFAOYSA-N	C1(/NC(=O)NC(=O)C(/F)=1)
6-trans-tridecenoyl-CoA	InChIKey=UUIVZEBYPBPKLL-HMXWSVNBSA-J	CCCCCC/C=C/CCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
dADP	InChIKey=DAEAPNUQQAICNR-RRKCRQDMSA-K	C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))C[C@H](O)3)
N-(1-deoxy-D-fructos-1-yl)-L-glutamine	InChIKey=UXVGPBLLNUTXSC-AJGMQJJTSA-N	C([R])(=O)[O-]
a pyrophosphate group		[O-]P(OP(=O)([O-])O)(=O)[O-]
7,8-dihydropteroate	InChIKey=WBFYVDCHGVNRBH-UHFFFAOYSA-M	C(NC1(\C=C/C(/C(=O)[O-])=C\C=1))C2(CNC3(/N=C(N)\NC(=O)C(/N=2)=3))
(2E,6E)-farnesol	InChIKey=CRDAMVZIKSXKFV-YFVJMOTDSA-N	CC(C)=CCCC(\C)=C/CCC(\C)=C/CO
ethylphosphate	InChIKey=ZJXZSIYSNXKHEA-UHFFFAOYSA-L	CCOP([O-])(=O)[O-]
trans-(S)-nicotine N1'-oxide	InChIKey=RWFBQHICRCUQJJ-JQWIXIFHSA-N	C[N+]1([O-])([C@@H](CCC1)C2(\C=C/C=N\C=2))
Co2+	InChIKey=XLJKHNWPARRRJB-UHFFFAOYSA-N	[Co+2]
CMP group		C(OP(=O)([O-])O)[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O)
sn-glycerol 3-phosphate	InChIKey=AWUCVROLDVIAJX-GSVOUGTGSA-L	C(OP([O-])(=O)[O-])[C@H](O)CO
lauroyl-CoA	InChIKey=YMCXGHLSVALICC-GMHMEAMDSA-J	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[R])COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
1,2-dibutyrin	InChIKey=AWHAUPZHZYUHOM-VIFPVBQESA-N	C(O)[C@@H](COC(=O)[R1])OC(=O)[R2]
b-xxyl-PEN-1:5		
purine-ring		C1(\C2(N\C=N/C(\N=C/N=1)=2))
(S)-(+)-allantoin	InChIKey=POJWUDADGALRAB-SFOWXEAESA-N	C(=O)(N)N[C@H]1(NC(=O)NC(=O)1)
10-trans-heptadecenoyl-CoA	InChIKey=KFMWWNZRDBMYES-HEVZYKJKSA-J	CCCCCC/C=C/CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
coenzyme A	InChIKey=RGJOEKWQDUBAIZ-IBOSZNHHSA-J	CC(C)(COP([O-])(=O)OP(OC[C@H]3(O[C@@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))[C@H](O)[C@H](OP([O-])(=O)[O-])3))(=O)[O-])[C@@H](O)C(=O)NCCC(=O)NCCS
4alpha-formyl-5alpha-cholesta-8,24-dien-3beta-ol	InChIKey=ZLQSSFNCEUGGJF-NUESBDPTSA-N	CC(C)=CCC[C@@H](C)[C@H]2(CC[C@H]3(C4(\CC[C@H]1([C@H](C=O)[C@@H](O)CC[C@@](C)1C(\CC[C@](C)23)=4))))
ergosta-5,7,22,24(28)-tetraen-3beta-ol	InChIKey=SQFQJKZSFOZDJY-CVGLIYDESA-N	CC(C)C(/C=C/[C@@H](C)[C@H]3(CC[C@H]4(C2([C@@H]([C@]1(CC[C@H](O)CC/1=C\C=2)(C))CC[C@](C)34))))=C
x-lara-PEN-1:4		
x-dgal-HEX-1:5		
triphosphate	InChIKey=UNXRWKVEANCORM-UHFFFAOYSA-J	OP(OP(=O)(OP([O-])(=O)[O-])[O-])([O-])=O
4-methylsalicylate	InChIKey=NJESAXZANHETJV-UHFFFAOYSA-M	CC1(\C=C/C(/C([O-])=O)=C(\C=1)/O)
beta-D-fructofuranose	InChIKey=RFSUNEUAIZKAJO-ARQDHWQXSA-N	C(O)[C@H]1(O[C@](O)(CO)[C@H]([C@@H]1O)O)
fecosterol	InChIKey=SLQKYSPHBZMASJ-QKPORZECSA-N	CC(C)C(CC[C@@H](C)[C@H]2(CC[C@H]3(C4(\CC[C@H]1(C[C@@H](O)CC[C@@](C)1C(\CC[C@](C)23)=4)))))=C
(L-glutaminyl)adenylate	InChIKey=WHAIODPVLKHEHE-LTOLZBHSSA-N	C([R])(=O)[O-]
5-fluorocytosine	InChIKey=XRECTZIEBJDKEO-UHFFFAOYSA-N	C1(/NC(=O)/N=C(C(/F)=1)/N)
beta-D-glucuronate	InChIKey=AEMOLEFTQBMNLQ-QIUUJYRFSA-M	C([R])(=O)[O-]
(R)-S-adenosyl-L-methionine	InChIKey=MEFKEPWMEQBLKI-TYYLHDHTSA-O	C([R])(=O)[O-]
7,8-dihydromonapterin	InChIKey=YQIFAMYNGGOTFB-NJGYIYPDSA-N	C1(NC2(/N=C(N)\NC(=O)C(/N=C1/[C@H](O)[C@@H](O)CO)=2))
L-selenocysteine	InChIKey=ZKZBPNGNEQAJSX-REOHCLBHSA-N	[C@@H]([NH3+])([R])C([O-])=O
